S10.G00.00.001,'Ciel Paye Evolution'
S21.G00.51.001,'01022016 '
S21.G00.51.002,'31012016'
S21.G00.86.001,'01'
S21.G00.86.002,'03'
S21.G00.86.003,'20'
S21.G00.86.005,'CT00015'
S21.G00.30.001,'1840172181338'
S21.G00.30.002,'RIDODO34'
S21.G00.30.003,'RIDODO34'
S21.G00.30.004,'Claire'
S21.G00.30.006,'14071970'
S21.G00.30.007,'SAINT VINCENT DE TYROSSE'
S21.G00.30.008,'8 RUE JOSEPH MERY'
S21.G00.30.009,'75015'
S21.G00.30.010,'SAINT VINCENT DE TYROSSE'
S21.G00.30.014,'40'
S21.G00.30.015,'FR'
S21.G00.30.018,'RIDODO34@blue.fr'
S21.G00.30.019,'S021'
S21.G00.30.021,'3'
S21.G00.34.001,'10'
S21.G00.40.001,'25022015'
S21.G00.40.002,'07'
S21.G00.40.003,'04'
S21.G00.40.004,'634C'
S21.G00.40.006,'TECHNICIEN ELECTRONICIEN'
S21.G00.40.007,'01'
S21.G00.40.008,'99'
S21.G00.40.009,'CT00015'
S21.G00.40.011,'10'
S21.G00.40.012,'151.67'
S21.G00.40.013,'151.67'
S21.G00.40.014,'10'
S21.G00.40.016,'99'
S21.G00.40.017,'1090'
S21.G00.40.018,'200'
S21.G00.40.019,'40341609200019'
S21.G00.70.004,'Option2'
S21.G00.70.005,'POP2'
S21.G00.70.012,'1'
S21.G00.70.013,'200'
S21.G00.73.003,'02'
S21.G00.73.004,'01032017'
S21.G00.73.005,'02032006'
S21.G00.73.006,'RIDODO34'
S21.G00.73.007,'2640838080032'
S21.G00.73.008,'1840172181338'
S21.G00.73.009,'Nathalie1'
S21.G00.73.010,'01'
S21.G00.73.003,'02'
S21.G00.73.004,'01032017'
S21.G00.73.005,'02032006'
S21.G00.73.006,'RIDODO34'
S21.G00.73.007,'2640838080033'
S21.G00.73.008,'1840172181338'
S21.G00.73.009,'Chantale1'
S21.G00.73.010,'01'
S21.G00.70.004,'SPLOMB/SGT20'
S21.G00.70.005,'ETAB'
S21.G00.70.012,'1'
S21.G00.70.013,'300'
S21.G00.73.003,'02'
S21.G00.73.004,'01032017'
S21.G00.73.005,'02032006'
S21.G00.73.006,'RIDODO34'
S21.G00.73.007,'2640838080032'
S21.G00.73.008,'1840172181338'
S21.G00.73.009,'Nathalie2'
S21.G00.73.010,'01'
S21.G00.73.003,'02'
S21.G00.73.004,'01032017'
S21.G00.73.005,'02032006'
S21.G00.73.006,'RIDODO34'
S21.G00.73.007,'2640838080033'
S21.G00.73.008,'1840172181338'
S21.G00.73.009,'Chantale2'
S21.G00.73.010,'01'
S21.G00.71.002,'RETC'
S21.G00.50.001,'02012016'
S21.G00.50.002,'1450'
S21.G00.51.001,'01022016 '
S21.G00.51.002,'31012016'
S21.G00.86.001,'01'
S21.G00.86.002,'03'
S21.G00.86.003,'20'
S21.G00.86.005,'CT00015'
S21.G00.85.001,'40341609200019'
S21.G00.85.010,'01'
S90.G00.90.001,'259'
S90.G00.90.002,'1'
